dist,episode_num,epsilon,reward
152,358,,9.3292
56,359,,12.7663
45,360,,2.7619
274,365,0.98075,59.1054
2,366,0.98075,0.1228
130,371,0.98075,30.6268
20,376,0.98075,20.5611
121,381,0.9805,35.6596
153,386,0.98025,17.3081
45,391,0.98,18.7811
67,396,0.97975,21.6658
242,401,0.9795,26.6373
17,406,0.97925,20.0701
44,410,0.97905,25.9008
147,415,0.9788,35.6596
136,420,0.97855,32.5908
8,425,0.9783,16.8785
136,430,0.97805,22.9548
132,435,0.9778,39.6491
3,440,0.97755,5.5238
122,445,0.9773,27.558000000000003
54,450,0.97705,29.4606
259,455,0.9768,48.4259
60,460,0.97655,20.1928
192,465,0.9763,28.3559
25,470,0.97605,14.7917
313,475,0.9758,60.2715
72,480,0.97555,26.4532
191,485,0.9753,34.6776
85,490,0.97505,45.1729
96,495,0.9748,20.2542
196,500,0.97455,29.9517
117,505,0.9743,27.3125
208,510,0.97405,36.3348
55,515,0.9738,24.9188
56,520,0.97355,36.3962
63,525,0.9733,12.2139
0,530,0.97305,30.8109
10,535,0.9728,22.831999999999997
37,540,0.97255,31.7316
28,545,0.9723,20.8066
123,550,0.97205,25.287
87,555,0.9718,21.1135
75,560,0.97155,28.1103
158,565,0.9713,33.6342
12,570,0.97105,14.3007
133,575,0.9708,33.6342
24,580,0.97055,18.106
89,585,0.9703,34.3708
98,590,0.97005,22.4024
44,595,0.9698,30.8723
175,600,0.96955,22.8934
133,605,0.9693,25.5939
132,610,0.96905,45.7867
94,615,0.9688,28.6627
42,620,0.96855,22.7706
16,625,0.9683,32.5908
11,630,0.96805,15.0986
88,635,0.9678,30.3813
26,640,0.96755,13.8097
114,645,0.9673,45.9095
14,650,0.96705,25.2257
55,655,0.9668,26.7601
57,660,0.96655,24.6119
68,665,0.9663,19.1494
61,670,0.96605,27.8035
179,675,0.96505,53.3974
48,680,0.96405,26.8828
14,685,0.96305,25.8394
7,690,0.96205,7.3652
8,695,0.96105,20.2542
223,700,0.96005,27.9876
69,705,0.95905,20.8066
148,710,0.95805,30.5654
112,715,0.95705,35.0459
153,720,0.95605,27.6193
144,725,0.95505,31.5474
109,730,0.95405,24.7347
156,735,0.95305,22.5251
105,740,0.95205,35.1686
234,745,0.95105,29.7675
97,750,0.95005,26.3918
72,755,0.94905,41.5518
34,760,0.94805,25.4712
99,765,0.94705,25.4712
105,770,0.94605,35.3528
109,775,0.94505,23.7526
40,780,0.94405,27.8648
24,785,0.94305,35.4755
138,790,0.9420500000000002,31.7929
13,795,0.9410500000000004,22.1569
65,800,0.9400500000000004,22.9547
128,805,0.9390500000000004,33.1432
30,810,0.9380500000000004,26.6987
78,815,0.9370500000000004,19.3949
16,820,0.9360500000000004,29.0924
55,825,0.9350500000000004,21.6658
26,830,0.9340500000000004,24.305
43,835,0.9330500000000004,22.4637
72,840,0.9320500000000004,31.7929
63,845,0.9310500000000004,22.1568
70,850,0.9300500000000004,29.3379
53,855,0.9290500000000004,23.6299
254,860,0.9280500000000004,40.0173
161,865,0.9270500000000004,24.4891
211,870,0.9260500000000004,47.4439
3,875,0.9250500000000004,35.5369
60,880,0.9240500000000004,22.7706
164,885,0.9230500000000004,29.5834
46,890,0.9220500000000004,16.5103
347,895,0.9210500000000004,52.4767
3,900,0.9200500000000004,21.9113
210,905,0.9190500000000004,50.8196
101,910,0.9180500000000004,20.6224
153,915,0.9170500000000004,33.8184
75,920,0.9160500000000004,33.1432
128,925,0.9150500000000004,26.4532
133,930,0.9140500000000004,29.3379
93,935,0.9130500000000004,18.6584
7,940,0.9120500000000004,9.8816
128,945,0.9110500000000004,33.8797
38,950,0.9100500000000004,17.8605
197,955,0.9090500000000004,53.0905
115,960,0.9080500000000004,39.956
145,965,0.9070500000000004,21.3589
27,970,0.9060500000000004,18.2901
49,975,0.9050500000000004,23.1389
153,980,0.9040500000000004,32.3453
201,985,0.9030500000000004,44.9275
71,990,0.9020500000000004,37.1941
147,995,0.9010500000000004,28.9083
131,1000,0.9000500000000005,48.3032
133,1005,0.8990500000000006,40.446999999999996
132,1010,0.8980500000000007,38.483
37,1015,0.8970500000000008,21.9727
66,1020,0.8960500000000009,26.4532
36,1025,0.895050000000001,29.1537
16,1030,0.8940500000000011,17.0626
48,1035,0.8930500000000012,26.7601
117,1040,0.8920500000000013,31.0564
103,1045,0.8910500000000015,28.8469
53,1050,0.8900500000000016,35.9051
79,1055,0.8890500000000017,55.6683
79,1060,0.8880500000000018,36.3348
165,1065,0.8870500000000019,41.6745
2,1070,0.8860500000000021,58.9213
10,1075,0.8850500000000022,23.7526
152,1080,0.8840500000000023,27.6807
95,1085,0.8830500000000024,33.9411
115,1090,0.8820500000000026,33.4501
89,1095,0.8810500000000027,32.3453
77,1100,0.8800500000000028,38.483
47,1105,0.8790500000000029,28.1717
150,1110,0.878050000000003,55.3614
57,1115,0.8770500000000031,27.066999999999997
206,1120,0.8760500000000032,59.4737
130,1125,0.8750500000000033,36.7644
225,1130,0.8740500000000034,35.9665
259,1135,0.8730500000000035,44.3137
67,1140,0.8720500000000037,48.7328
105,1145,0.8710500000000038,34.0025
30,1150,0.8700500000000039,28.1103
144,1155,0.869050000000004,26.8828
138,1160,0.8680500000000041,34.0025
146,1165,0.8670500000000042,33.3273
48,1170,0.8660500000000043,32.0998
141,1175,0.8650500000000044,53.827
34,1180,0.8640500000000045,27.4966
141,1185,0.8630500000000046,23.3844
14,1190,0.8620500000000048,27.2511
158,1195,0.8610500000000049,26.576
134,1200,0.8600500000000051,36.3962
0,1205,0.8467500000000052,27.7421
93,1210,0.8457500000000053,34.9231
41,1215,0.8447500000000054,17.0012
162,1220,0.8437500000000056,37.8692
135,1225,0.8427500000000057,43.9454
114,1230,0.8417500000000058,19.8245
131,1235,0.8407500000000059,47.137
353,1240,0.839750000000006,48.8556
39,1245,0.8387500000000061,41.1835
88,1250,0.8377500000000062,30.1972
145,1255,0.8367500000000063,38.2988
63,1260,0.8357500000000064,46.2164
63,1265,0.8347500000000065,45.1116
53,1270,0.8337500000000067,34.5549
185,1275,0.8327500000000068,38.6671
39,1280,0.8317500000000069,46.5846
158,1285,0.8307500000000072,35.23
156,1290,0.8297500000000073,55.6683
32,1295,0.8287500000000074,20.6838
87,1300,0.8277500000000075,68.005
39,1305,0.8267500000000076,39.0967
80,1310,0.8257500000000078,19.7018
136,1315,0.8247500000000079,33.5729
142,1320,0.8237500000000079,41.0608
15,1325,0.8227500000000079,41.92
104,1330,0.8217500000000079,49.408
143,1335,0.8084500000000079,26.0236
89,1340,0.8074500000000079,28.4786
13,1345,0.8064500000000079,42.4724
77,1350,0.8054500000000079,35.1073
137,1355,0.8044500000000079,26.1463
28,1360,0.8034500000000079,24.4278
19,1365,0.8024500000000079,22.6479
103,1370,0.8014500000000079,38.4829
207,1375,0.8004500000000079,64.5679
185,1380,0.7994500000000079,35.4755
179,1385,0.7984500000000079,52.5381
348,1390,0.7974500000000079,37.0099
133,1395,0.7964500000000079,66.9002
162,1400,0.7954500000000079,26.7601
123,1405,0.7944500000000079,47.0142
205,1410,0.7934500000000079,39.7105
34,1415,0.7924500000000079,35.3528
192,1420,0.7914500000000079,49.7762
149,1425,0.7712500000000079,43.3317
76,1430,0.7510500000000079,36.211999999999996
80,1435,0.7356500000000079,40.2015
169,1440,0.7250500000000079,54.5022
76,1445,0.7142500000000079,38.974
99,1450,0.6936500000000079,42.7793
79,1455,0.6730500000000079,32.8363
141,1460,0.6328500000000079,51.8016
179,1465,0.5926500000000079,74.9405
159,1470,0.5720500000000079,50.0217
18,1475,0.541650000000008,46.646
133,1480,0.521050000000008,76.65899999999998
142,1485,0.490650000000008,80.8326
91,1490,0.47005000000000796,31.3019
215,1495,0.42985000000000795,78.9913
254,1500,0.379850000000008,102.6212
394,1505,0.34945000000000803,72.7309
585,1510,0.34945000000000803,116.7991
426,1515,0.34945000000000803,107.5927
562,1520,0.34945000000000803,132.6342
228,1525,0.34945000000000803,70.2145
560,1530,0.34945000000000803,114.7737
170,1535,0.34945000000000803,85.6813
173,1540,0.34945000000000803,107.6541
259,1545,0.34945000000000803,118.0266
417,1550,0.34945000000000803,83.9014
235,1555,0.34945000000000803,91.0825
134,1560,0.34945000000000803,87.8909
269,1565,0.34945000000000803,80.7712
158,1570,0.34945000000000803,114.2827
157,1575,0.34945000000000803,43.6386
256,1580,0.34945000000000803,115.5102
282,1585,0.34945000000000803,104.5853
376,1590,0.34945000000000803,89.1184
306,1595,0.34945000000000803,105.4445
100,1600,0.34945000000000803,67.2684
266,1605,0.34945000000000803,84.4538
225,1610,0.34945000000000803,99.5524
396,1615,0.34945000000000803,116.124
116,1620,0.34945000000000803,105.5059
128,1625,0.34945000000000803,55.7297
350,1630,0.34945000000000803,106.9176
158,1635,0.34945000000000803,81.5691
242,1640,0.34945000000000803,84.8834
406,1645,0.34945000000000803,114.2213
554,1650,0.34945000000000803,128.7061
160,1655,0.34945000000000803,98.4476
294,1660,0.34945000000000803,105.8742
135,1665,0.34945000000000803,87.9523
174,1670,0.3386500000000081,68.5574
136,1675,0.3376500000000082,59.2282
417,1680,0.30725000000000824,91.2666
579,1685,0.29725000000000823,140.9814
587,1690,0.29725000000000823,121.0341
171,1695,0.29725000000000823,116.8605
178,1700,0.29725000000000823,80.4644
212,1705,0.29725000000000823,89.6708
411,1710,0.29725000000000823,139.1401
198,1715,0.29725000000000823,117.9653
172,1720,0.29725000000000823,72.0558
205,1725,0.29725000000000823,77.0886
523,1730,0.29725000000000823,127.54
376,1735,0.29725000000000823,102.4985
189,1740,0.29725000000000823,92.9237
143,1745,0.29725000000000823,86.2951
587,1750,0.29725000000000823,115.0192
371,1755,0.29725000000000823,120.7886
331,1760,0.29725000000000823,99.3683
314,1765,0.29725000000000823,69.0484
167,1770,0.29725000000000823,81.5077
219,1775,0.29725000000000823,88.9957
411,1780,0.29725000000000823,116.4309
91,1785,0.29725000000000823,76.168
237,1790,0.29725000000000823,92.6782
379,1795,0.29725000000000823,85.9269
587,1800,0.29725000000000823,115.5716
591,1805,0.29725000000000823,76.8432
590,1810,0.29725000000000823,112.7483
350,1815,0.29725000000000823,94.7037
133,1820,0.29725000000000823,97.6497
531,1825,0.29725000000000823,121.341
165,1830,0.29725000000000823,107.7768
294,1835,0.29725000000000823,105.1376
193,1840,0.29725000000000823,84.0241
160,1845,0.29725000000000823,74.8791
276,1850,0.29725000000000823,91.4507
141,1855,0.29725000000000823,116.615
270,1860,0.29725000000000823,103.8487
434,1865,0.29725000000000823,111.2139
282,1870,0.2766500000000083,136.2554
262,1875,0.2766500000000083,85.1289
233,1880,0.2766500000000083,68.6187
434,1885,0.2766500000000083,102.1916
355,1890,0.2766500000000083,113.1166
170,1895,0.2766500000000083,106.4879
434,1900,0.2766500000000083,98.4476
282,1905,0.2766500000000083,83.9628
294,1910,0.2766500000000083,115.8171
344,1915,0.2766500000000083,115.2034
355,1920,0.2766500000000083,94.5196
293,1925,0.2766500000000083,104.3397
156,1930,0.2766500000000083,114.0372
118,1935,0.2766500000000083,101.0868
120,1940,0.2766500000000083,91.6349
173,1945,0.2766500000000083,88.4433
518,1950,0.2766500000000083,91.2666
173,1955,0.2766500000000083,71.442
277,1960,0.2766500000000083,88.6888
226,1965,0.2766500000000083,98.0794
249,1970,0.2766500000000083,78.0093
539,1975,0.2766500000000083,143.191
547,1980,0.2766500000000083,123.2436
220,1985,0.2766500000000083,61.1922
590,1990,0.2766500000000083,106.9789
434,1995,0.2766500000000083,110.416
578,2000,0.2766500000000083,121.4024
582,2005,0.2766500000000083,113.9145
255,2010,0.2766500000000083,125.8215
73,2015,0.2766500000000083,103.8487
413,2020,0.2766500000000083,83.4718
589,2025,0.2766500000000083,149.881
287,2030,0.2766500000000083,123.1823
273,2035,0.2766500000000083,65.9796
594,2040,0.2766500000000083,107.1631
405,2045,0.2766500000000083,80.1575
431,2050,0.2766500000000083,130.4247
327,2055,0.2766500000000083,94.5195
425,2056,0.2766500000000083,26.0849
404,2060,0.2766500000000083,69.47800000000001
180,2065,0.2766500000000083,130.1792
433,2070,0.2766500000000083,128.0924
392,2075,0.2766500000000083,96.1153
594,2080,0.2766500000000083,125.6373
155,2085,0.2766500000000083,101.1481
290,2090,0.2766500000000083,109.9864
465,2095,0.2766500000000083,124.287
251,2100,0.2766500000000083,64.9975
421,2105,0.2766500000000083,124.4711
585,2110,0.2766500000000083,132.8797
256,2115,0.2766500000000083,129.3199
253,2120,0.2766500000000083,104.5852
182,2125,0.2766500000000083,92.5555
584,2130,0.2766500000000083,120.5431
282,2135,0.2766500000000083,94.5195
577,2140,0.2766500000000083,121.5865
566,2145,0.2766500000000083,106.6107
283,2150,0.2766500000000083,97.5883
402,2155,0.2766500000000083,97.4656
228,2160,0.2766500000000083,63.5245
294,2165,0.2766500000000083,67.0843
521,2170,0.2766500000000083,146.4439
382,2175,0.2766500000000083,111.5822
428,2180,0.2766500000000083,125.1463
593,2185,0.2766500000000083,92.801
593,2190,0.2766500000000083,141.411
351,2195,0.2766500000000083,108.7588
146,2200,0.2766500000000083,148.6534
130,2205,0.25665000000000826,74.9405
110,2210,0.25665000000000826,124.1029
447,2215,0.25665000000000826,130.793
311,2220,0.25665000000000826,114.2213
527,2225,0.25665000000000826,108.3906
413,2230,0.25665000000000826,102.2529
586,2235,0.25665000000000826,109.0657
183,2240,0.25665000000000826,98.2021
86,2245,0.25665000000000826,71.8717
293,2250,0.25665000000000826,111.4594
184,2255,0.25665000000000826,68.5573
253,2260,0.25665000000000826,87.8909
165,2265,0.25665000000000826,76.168
168,2270,0.25665000000000826,87.584
263,2275,0.25665000000000826,97.0973
584,2280,0.25665000000000826,161.78799999999995
589,2285,0.25665000000000826,112.87100000000001
579,2290,0.25665000000000826,174.18599999999995
239,2295,0.25665000000000826,116.3695
158,2300,0.25665000000000826,97.036
434,2305,0.25665000000000826,118.8859
148,2310,0.25665000000000826,124.9008
130,2315,0.25665000000000826,111.0298
594,2320,0.25665000000000826,156.0186
594,2325,0.25665000000000826,137.6671
430,2330,0.25665000000000826,112.8097
225,2335,0.25665000000000826,69.6621
424,2340,0.25665000000000826,128.7061
148,2345,0.25665000000000826,83.3491
583,2350,0.25665000000000826,150.5561
500,2355,0.25665000000000826,90.3459
264,2360,0.25665000000000826,128.0924
581,2365,0.25665000000000826,117.0446
392,2370,0.25665000000000826,146.2598
210,2375,0.25665000000000826,104.21700000000001
551,2380,0.25665000000000826,167.4346
181,2385,0.25665000000000826,121.5865
125,2390,0.25665000000000826,73.1606
247,2395,0.25665000000000826,87.3385
590,2400,0.25665000000000826,108.6975
591,2405,0.25665000000000826,133.8004
222,2410,0.25665000000000826,95.1947
149,2415,0.25665000000000826,127.2331
423,2420,0.25665000000000826,121.9548
558,2425,0.25665000000000826,107.5313
291,2430,0.25665000000000826,103.9101
175,2435,0.25665000000000826,111.1525
594,2440,0.25665000000000826,152.2133
587,2445,0.25665000000000826,121.7706
594,2450,0.25665000000000826,129.4426
594,2455,0.25665000000000826,143.191
647,2460,0.25665000000000826,162.1562
577,2465,0.25665000000000826,170.2579
138,2470,0.25665000000000826,74.204
524,2475,0.25665000000000826,109.3112
249,2480,0.25665000000000826,72.42399999999998
273,2485,0.25665000000000826,81.876
592,2490,0.25665000000000826,119.1928
204,2495,0.25665000000000826,118.0267
492,2500,0.25665000000000826,105.1376
279,2505,0.25665000000000826,105.1377
594,2510,0.25665000000000826,131.4681
496,2515,0.25665000000000826,105.6287
288,2520,0.25665000000000826,123.7346
594,2525,0.25665000000000826,129.9337
422,2530,0.25665000000000826,78.0707
584,2535,0.25665000000000826,139.9994
149,2540,0.25665000000000826,96.9746
588,2545,0.25665000000000826,125.3304
551,2550,0.25665000000000826,146.137
587,2555,0.25665000000000826,130.8543
586,2560,0.25665000000000826,108.2678
581,2565,0.25665000000000826,131.5908
251,2570,0.25665000000000826,100.4117
239,2575,0.25665000000000826,125.6373
149,2580,0.25665000000000826,128.5834
594,2585,0.25665000000000826,156.0186
379,2590,0.25665000000000826,75.2474
590,2595,0.25665000000000826,125.3304
587,2600,0.25665000000000826,141.0428
565,2605,0.25665000000000826,97.4656
594,2610,0.25665000000000826,158.2895
535,2615,0.25665000000000826,138.4036
431,2620,0.25665000000000826,105.2604
176,2625,0.25665000000000826,146.3825
593,2630,0.25665000000000826,151.5381
162,2635,0.25665000000000826,102.8667
435,2640,0.25665000000000826,118.5177
582,2645,0.25665000000000826,141.7179
448,2650,0.25665000000000826,108.2065
594,2655,0.25665000000000826,128.9517
273,2660,0.25665000000000826,107.5927
428,2665,0.25665000000000826,130.9771
252,2670,0.25665000000000826,94.6423
214,2675,0.25665000000000826,131.2839
126,2680,0.25665000000000826,127.8469
207,2685,0.25665000000000826,118.3949
435,2690,0.25665000000000826,95.6243
581,2695,0.25665000000000826,110.2319
572,2700,0.25665000000000826,124.6553
174,2705,0.25665000000000826,104.708
387,2710,0.25665000000000826,105.0149
593,2715,0.25665000000000826,149.7582
121,2720,0.25665000000000826,76.168
427,2725,0.25665000000000826,140.0607
164,2730,0.25665000000000826,83.8401
482,2735,0.25665000000000826,155.6503
233,2740,0.25665000000000826,96.3608
433,2745,0.25665000000000826,82.5511
288,2750,0.25665000000000826,68.2505
578,2755,0.25665000000000826,99.1841
243,2760,0.25665000000000826,97.8952
556,2765,0.25665000000000826,114.4055
140,2770,0.25665000000000826,131.775
593,2775,0.25665000000000826,123.1823
536,2780,0.25665000000000826,124.4712
420,2785,0.25665000000000826,119.1928
464,2790,0.25665000000000826,151.7837
594,2795,0.25665000000000826,172.1606
376,2800,0.25665000000000826,109.0044
421,2805,0.25665000000000826,116.9219
201,2810,0.25665000000000826,139.0787
588,2815,0.25665000000000826,138.95600000000002
125,2820,0.25665000000000826,94.6423
289,2825,0.25665000000000826,117.1674
541,2830,0.25665000000000826,139.3856
144,2835,0.25665000000000826,131.1612
289,2840,0.25665000000000826,90.8983
594,2845,0.25665000000000826,126.7421
579,2850,0.25665000000000826,150.4333
194,2855,0.25665000000000826,73.5902
175,2860,0.25665000000000826,107.2858
584,2865,0.25665000000000826,131.8977
431,2870,0.25665000000000826,104.8307
417,2875,0.25665000000000826,137.974
463,2880,0.25665000000000826,133.739
396,2885,0.25665000000000826,114.8351
241,2890,0.25665000000000826,112.1346
573,2895,0.25665000000000826,150.0651
566,2900,0.25665000000000826,135.0279
591,2905,0.25665000000000826,110.6001
141,2910,0.25665000000000826,103.5418
586,2915,0.25665000000000826,81.6919
588,2920,0.25665000000000826,105.3218
185,2925,0.25665000000000826,126.1897
582,2930,0.25665000000000826,118.579
296,2935,0.25665000000000826,114.0986
292,2940,0.25665000000000826,120.7886
174,2945,0.25665000000000826,107.6541
580,2950,0.25665000000000826,115.0806
208,2955,0.25665000000000826,80.2802
283,2960,0.25665000000000826,97.4656
431,2965,0.25665000000000826,111.2139
577,2970,0.25665000000000826,137.2988
293,2975,0.25665000000000826,85.9882
406,2980,0.25665000000000826,96.9746
288,2985,0.25665000000000826,113.3621
235,2990,0.25665000000000826,103.4805
427,2995,0.25665000000000826,121.1568
274,3000,0.25665000000000826,103.3577
434,3005,0.25665000000000826,124.1029
382,3010,0.25665000000000826,121.7706
590,3015,0.25665000000000826,134.721
418,3020,0.25665000000000826,76.4749
273,3025,0.25665000000000826,115.7557
282,3030,0.25665000000000826,112.7483
563,3035,0.25665000000000826,144.2957
528,3040,0.25665000000000826,173.2653
577,3045,0.25665000000000826,159.3329
150,3050,0.25665000000000826,107.3472
574,3055,0.25665000000000826,118.2722
593,3060,0.25665000000000826,135.7644
507,3065,0.25665000000000826,136.6851
585,3070,0.25665000000000826,150.9857
418,3075,0.25665000000000826,96.4836
591,3080,0.25665000000000826,139.5698
571,3085,0.25665000000000826,142.7613
260,3090,0.25665000000000826,124.1029
338,3095,0.25665000000000826,146.0757
169,3100,0.25665000000000826,133.9845
192,3105,0.25665000000000826,83.9015
496,3110,0.25665000000000826,120.6658
583,3115,0.25665000000000826,98.3249
564,3120,0.25665000000000826,156.571
214,3125,0.25665000000000826,93.4148
424,3130,0.25665000000000826,108.0223
271,3135,0.25665000000000826,133.3094
589,3140,0.25665000000000826,112.5642
592,3145,0.25665000000000826,180.9374
574,3150,0.25665000000000826,132.266
389,3155,0.25665000000000826,147.3031
122,3160,0.25665000000000826,79.1755
537,3165,0.25665000000000826,116.0013
392,3170,0.25665000000000826,117.7198
412,3175,0.25665000000000826,110.90700000000001
359,3180,0.25665000000000826,95.5015
594,3185,0.25665000000000826,147.1804
258,3190,0.25665000000000826,133.5549
153,3195,0.25665000000000826,70.46
331,3200,0.25665000000000826,81.385
276,3205,0.25665000000000826,67.2071
221,3210,0.25665000000000826,120.1135
198,3215,0.25665000000000826,116.615
463,3220,0.25665000000000826,133.6162
424,3225,0.25665000000000826,125.2077
184,3230,0.25665000000000826,79.4823
590,3235,0.25665000000000826,107.8996
576,3240,0.25665000000000826,131.6522
95,3245,0.25665000000000826,123.4892
295,3250,0.25665000000000826,112.5028
285,3255,0.25665000000000826,60.2715
141,3260,0.25665000000000826,69.0484
165,3265,0.25665000000000826,103.1736
251,3270,0.25665000000000826,127.9083
594,3275,0.25665000000000826,160.8673
284,3280,0.25665000000000826,96.2381
284,3285,0.25665000000000826,131.8363
167,3290,0.25665000000000826,121.832
269,3295,0.25665000000000826,116.2467
580,3300,0.25665000000000826,108.5133
109,3305,0.25665000000000826,58.7985
180,3306,0.25665000000000826,11.0477
199,3307,0.25665000000000826,76.3521
206,3308,0.25665000000000826,12.6435
590,3309,0.25665000000000826,48.8555
594,3310,0.25665000000000826,36.4575
102,3315,0.25665000000000826,112.0732
589,3320,0.25665000000000826,180.7533
588,3325,0.25665000000000826,180.4464
594,3330,0.25665000000000826,182.2877
594,3335,0.25665000000000826,182.2877
488,3340,0.25665000000000826,154.4842
429,3345,0.25665000000000826,141.5338
534,3350,0.25665000000000826,144.8481
594,3355,0.25665000000000826,168.2939
593,3360,0.25665000000000826,156.8165
543,3365,0.25665000000000826,120.359
591,3370,0.25665000000000826,112.1345
273,3375,0.25665000000000826,132.4501
593,3380,0.25665000000000826,103.1736
267,3385,0.25665000000000826,103.1122
586,3390,0.25665000000000826,139.5698
253,3395,0.25665000000000826,119.9293
275,3400,0.25665000000000826,84.3924
275,3405,0.25665000000000826,84.3924
241,3410,0.25665000000000826,148.7148
575,3415,0.25665000000000826,158.535
594,3420,0.25665000000000826,157.062
564,3425,0.25665000000000826,176.8252
233,3430,0.25665000000000826,156.8779
594,3435,0.25665000000000826,158.3509
593,3440,0.25665000000000826,178.1755
586,3445,0.25665000000000826,159.5784
580,3450,0.25665000000000826,178.912
581,3455,0.25665000000000826,156.571
594,3460,0.25665000000000826,178.0527
536,3465,0.25665000000000826,174.7384
591,3470,0.25665000000000826,159.2102
233,3475,0.25665000000000826,157.062
591,3480,0.25665000000000826,158.535
233,3485,0.25665000000000826,166.8208
583,3490,0.25665000000000826,157.1848
233,3495,0.25665000000000826,137.1147
594,3500,0.25665000000000826,159.5171
586,3505,0.25665000000000826,181.7353
584,3510,0.25665000000000826,178.4823
584,3515,0.25665000000000826,178.912
588,3520,0.25665000000000826,176.641
586,3525,0.25665000000000826,180.6919
576,3530,0.25665000000000826,176.3342
594,3535,0.25665000000000826,181.858
592,3540,0.25665000000000826,164.6113
594,3545,0.25665000000000826,158.1054
710,3550,0.25665000000000826,159.6398
233,3555,0.25665000000000826,161.6038
168,3560,0.25665000000000826,152.8884
697,3565,0.25665000000000826,220.0341
317,3570,0.25665000000000826,165.6547
266,3575,0.25665000000000826,123.796
545,3580,0.25665000000000826,191.1872
167,3585,0.25665000000000826,133.3094
57,3590,0.25665000000000826,139.6311
286,3595,0.25665000000000826,130.7929
856,3600,0.25665000000000826,224.5145
766,3605,0.25665000000000826,195.2381
774,3610,0.25665000000000826,193.3968
779,3615,0.25665000000000826,200.5778
2707,3620,0.25665000000000826,665.1352
245,3625,0.25665000000000826,929.3602
130,3630,0.25665000000000826,658.3224
595,3635,0.25665000000000826,930.2808
595,3640,0.25665000000000826,935.8047
595,3645,0.25665000000000826,930.3422
233,3650,0.25665000000000826,540.2957
130,3655,0.25665000000000826,659.9795
595,3660,0.25665000000000826,934.5771
130,3665,0.25665000000000826,661.5139999999999
130,3670,0.25665000000000826,668.1426
595,3675,0.25665000000000826,941.6968
130,3680,0.25665000000000826,677.7787
640,3685,0.25665000000000826,687.6603
2700,3686,0.25665000000000826,165.7161
2823,3687,0.25665000000000826,173.2653
262,3688,0.25665000000000826,16.0806
248,1,0.25665000000000826,15.2213
721,2,0.25665000000000826,44.2523
